index	isL5IT
LS-15526_S71	1
LS-15526_S69	1
SM-GE65R_S127	0
SM-DAIHG_S60	1
SM-D9D7W_S49	0
SM-DAIGR_S37	0
SM-D9D7Y_S11	1
SM-DAIGR_S19	0
SM-DAIGJ_S21	0
SM-DAIFC_S12	0
SM-DAIGV_S23	1
SM-DAIFT_S32	0
LS-15522_S08	1
SM-D9D85_S12	0
SM-DD43S_S53	1
SM-DAIGL_S29	0
LS-15532_S02	1
SM-DAIHD_S52	1
SM-D9D7V_S05	0
SM-D9EQS_S93	0
SM-D9E5N_S55	0
SM-D9D6R_S08	0
SM-D9D87_S05	0
SM-D9D87_S19	0
SM-D9EQM_S47	1
SM-D9E5W_S13	0
SM-GE8ZO_S053	0
SM-GE8ZO_S049	0
SM-GE8ZO_S063	0
SM-D9D8P_S48	0
SM-DAIFS_S69	0
SM-DAIGY_S05	1
SM-DAIH6_S16	0
SM-DD43Q_S42	1
SM-DAIGK_S31	0
SM-DAIGJ_S05	0
SM-DAIGQ_S16	0
SM-DAIG8_S14	1
SM-D9D8H_S04	0
SM-DAIGU_S45	0
SM-D9E5U_S22	1
SM-GE659_S010	0
SM-DD43L_S64	1
SM-DD43Q_S74	1
SM-DAIGQ_S20	0
SM-D9EQL_S81	0
SM-D9E4M_S40	0
SM-GE659_S003	0
SM-DAIHG_S42	1
SM-D9E5R_S43	0
SM-DAIHG_S74	0
SM-DAIGV_S16	1
SM-DAIFV_S55	0
SM-GE668_S015	0
SM-DAIFS_S02	1
SM-DAIFR_S31	1
SM-DAIGK_S59	0
SM-D9D8H_S44	0
SM-DAIGJ_S18	0
SM-D9D8G_S35	0
SM-DD44C_S57	1
LS-15396_S77	0
SM-D9D86_S34	0
SM-DD44P_S63	0
SM-GE666_S058	0
SM-DD44R_S70	0
SM-D9D8H_S52	0
SM-DAIFT_S46	0
SM-D9EQM_S68	0
LS-15510_S21	0
SM-DAIFB_S34	0
SM-D9D7Y_S10	1
SM-DAIFR_S47	0
LS-15520_S38	1
SM-DAIH5_S18	1
LS-15520_S05	0
SM-DD44B_S57	1
LS-15510_S07	1
SM-DAIFS_S07	1
SM-DAIFS_S44	1
SM-DAIGA_S55	0
SM-D9E5E_S37	0
SM-D9E5Q_S12	1
SM-D9EQD_S20	0
SM-D9D8S_S20	0
SM-D9D8R_S33	1
SM-DAIFT_S24	0
SM-D9D8C_S18	1
SM-DAIFS_S66	0
SM-DAIG9_S32	0
SM-DAIFC_S11	0
SM-DAIGP_S17	1
SM-DD43R_S62	1
SM-DAIGL_S58	0
SM-DD43S_S69	1
SM-DAIGQ_S39	1
SM-D9EQH_S53	0
SM-DAIG5_S55	0
SM-DD44B_S72	1
SM-DAIG6_S42	0
SM-D9E5R_S71	0
SM-DD444_S70	1
SM-DD44N_S50	1
SM-DAIFH_S77	0
SM-D9EQJ_S44	1
LS-15524_S24	1
SM-DAIFI_S70	0
LS-15521_S11	1
SM-D9D8H_S42	0
LS-15534_S10	1
SM-DAIGX_S32	1
SM-DAIHD_S12	1
SM-D9D7W_S65	0
SM-DD43S_S54	1
SM-DAIG6_S54	0
SM-D9D87_S30	0
SM-DAIHD_S59	1
SM-DD443_S59	1
SM-DAIFC_S32	0
LS-15521_S09	1
SM-DAIFW_S34	1
SM-DAIFC_S45	0
SM-D9D8C_S84	0
SM-DAIFW_S59	0
SM-D9D8I_S37	0
SM-DAIG8_S67	0
SM-DAIG9_S34	0
SM-DAIG6_S04	0
SM-DAIFH_S59	0
SM-DAIG6_S61	0
SM-DAIFV_S58	0
SM-DAIFI_S17	1
SM-DAIG6_S33	0
SM-DAIFV_S69	0
SM-DAIGL_S05	0
SM-DAIGJ_S20	0
SM-DAIFS_S59	0
SM-DAIFU_S06	0
SM-DAIGL_S25	0
SM-DAIFU_S08	0
SM-DAIGR_S27	0
LS-15396_S41	1
SM-DAIGU_S43	1
SM-DD43L_S58	1
SM-D9E5X_S50	0
SM-D9E5E_S18	0
